Version	Date	Time	Author	Comment
165	03-Nov-2022	13:04	Philip Swannell	More testing of CSVWrite - important to test aspects of CSVWrite that are not tested in the round-trip tests, e.g. invalid inputs and behaviour when returning to worksheet and when QuoteAllStrings is FALSE.
164	03-Nov-2022	09:40	Philip Swannell	Help changes
163	02-Nov-2022	19:24	Philip Swannell	Help changes
162	02-Nov-2022	19:05	Philip Swannell	CSVWrite was not correctly handling argument QuoteAllStrings when the delimiter was not a comma. CSVRead fix to another edge case re ragged files and ShowMissingsAs.
161	01-Nov-2022	17:05	Philip Swannell	CSVRead: Now reject elements of TrueStrings, FalseStrings and MissingStrings that are not valid fields of a CSV file. Added tests 209 to 232 (to increase code coverage). Use & instead of + for string concatenation. Fixed edge case in CSVRead with regards to missing fields in ragged files.
160	31-Oct-2022	16:43	Philip Swannell	Code comments about intellisense.
159	28-Oct-2022	14:27	Philip Swannell	Removed commented-out module modCSVDevUtils. Tweak to method ValidateBooleanRepresentation. Amended variable declaration (automatically, via a script).
158	25-Oct-2022	18:18	Philip Swannell	Tweaks to CSVWrite including changed behaviour if DateFormat is passed as null string (as opposed to being omitted). Old behaviour: date format used in output would depend on the Windows locale. New behaviour: date format used is YYYY-MM-DD, i.e. same as omitting the argument.
157	24-Oct-2022	09:39	Philip Swannell	CSVRead: better handling for when Booleans in file are represented by quoted strings. E.g. https://vincentarelbundock.github.io/Rdatasets/csv/carData/TitanicSurvival.csv where the TrueString is quoted yes and FalseString is quoted no.
156	24-Oct-2022	09:22	Philip Swannell	Method ValidateTrueAndFalseStrings now rejects strings containing line feed, carriage return, delimiter (cont.)
155	24-Oct-2022	09:03	Philip Swannell	Method ValidateTrueAndFalseStrings now rejects strings containing line feed, carriage return, delimiter.
154	23-Oct-2022	16:32	Philip Swannell	Tweaked method ValidateTrueAndFalseStrings. Removed worksheet Adhoc.
153	23-Oct-2022	15:52	Philip Swannell	Fixed compile error. Added test 207.
152	23-Oct-2022	12:24	Philip Swannell	CSVWrite, improved validation of TrueString and FalseString. Added one more test for CSVRead.
151	22-Oct-2022	18:16	Philip Swannell	Improved handling of files containing long fields - length of field is now tested after "unquoting".
150	22-Oct-2022	17:39	Philip Swannell	Now know that for Excel 2013 function MaxStringLengthInArray should return 255. Also changes to code that detects that an array to be returned to Excel contains a too-long string.
149	22-Oct-2022	10:17	Philip Swannell	Tested on Excel 2010, with necessary changes to test code.
148	21-Oct-2022	16:41	Philip Swannell	Bumped tag to 16.
147	21-Oct-2022	16:39	Philip Swannell	Added arguments TrueString and FalseString to CSVWrite.
146	21-Oct-2022	16:16	Philip Swannell	1) Bug fix to method ParseCSVContents for case ConvertTypes <> FALSE _and_ SkipToRow > 1 _and_ HeaderRow > 1 _and_ SkipToRow = HeaderRow. Test = 203<LF>2) Argument DateFormat can now use the space character as the separator. e.g. "D M Y" is allowed. Test = 204.
145	01-Nov-2021	16:18	Philip Swannell	Now use SolumAddin for exporting VBA code.
144	01-Nov-2021	16:06	Philip Swannell	Vba code is now exported to folder c:\Projects\<ProjectName>\vba\<WorkbookName>
143	14-Oct-2021	17:09	Philip Swannell	Moved performance testing methods out of modCSVReadWrite. 331 fewer loc.
