"Performance",,,,,,,,,,,,,,,
"Performance - shows regression in Julia's performance from version 0.8.5+ to version 0.9.0",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"This data generated 30-September-2021 08:35:08",,,,,,,"C:\Projects\VBA-CSV\julia\juliaparsetimes(CSV_version_main_as_of_29-Aug-2021).csv","C:\Projects\VBA-CSV\julia\juliaparsetimes_CSV_version_0.9.0.csv",,,,,,"Chart_1_Time_v_Rows.jpg",
1,"x",256,1,7.47648340324887E-04,6.84589269113886E-04,4.6968246947869E-03,2.89335107921995E-04,5.09632045663031E-04,6688,7306,1065,17281,9811,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0256_x_001_Ascii.csv",768
1,"x",512,1,1.10121607572083E-03,9.71958581159078E-04,6.10989413931465E-03,3.12812812812813E-04,5.31575590048905E-04,4541,5145,819,15984,9406,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0512_x_001_Ascii.csv",1536
1,"x",1024,1,1.96087584310376E-03,1.97615231135628E-03,1.10232420701591E-02,3.67917586460633E-04,5.67794685441744E-04,2550,2531,454,13590,8806,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_1024_x_001_Ascii.csv",3072
,"x",2048,1,4.00667702160281E-03,5.51941335560018E-03,1.56885235107629E-02,5.09268690160929E-04,6.7367286445702E-04,1249,906,319,9818,7422,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_2048_x_001_Ascii.csv",6144
1,"x",4096,1,8.67778509516314E-03,7.19511122308779E-03,2.64563306872905E-02,9.64692263168049E-04,1.24161907126893E-03,577,695,189,5183,4027,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_4096_x_001_Ascii.csv",12288
1,"x",8192,1,1.66258651158305E-02,1.61632164516636E-02,5.07534494966908E-02,1.51423379769836E-03,1.73826900504719E-03,301,310,99,3302,2877,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_8192_x_001_Ascii.csv",24576
1,"x",16384,1,0.029335167836289,3.01633307230603E-02,9.78422249989727E-02,2.79485746226942E-03,2.60552371026576E-03,171,166,52,1789,1919,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_16384_x_001_Ascii.csv",49152
1,"x",32768,1,6.88142821907181E-02,6.17799061712705E-02,0.197490900002706,4.34491760724529E-03,4.65209295583326E-03,73,81,26,1151,1075,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_32768_x_001_Ascii.csv",98304
1,"x",65536,1,0.128495043591381,0.125133479997749,0.46704975456338,7.78382562367393E-03,9.14259628142474E-03,39,40,11,643,547,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_65536_x_001_Ascii.csv",196608
1,"x",131072,1,0.295421311768758,0.255583440000191,0.782536257124905,1.65874580345532E-02,1.45830906514871E-02,17,20,7,303,343,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_131072_x_001_Ascii.csv",393216
