"Performance",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"This data generated 06-November-2022 12:06:11",,,,,,,,,,,,"Chart_1_Time_v_Rows.jpg",
"Field Length","Each Field Contains","Num Rows","Num Cols","CSVRead
v0.21(176)","sdkn104
v1.9","ws_garcia
v3.1.5","CSV.jl
v0.8.5+","NCalls
CSVRead
v0.21(176)","NCalls
sdkn104
v1.9","NCalls
ws_garcia
v3.1.5","NCalls
CSV.jl
v0.8.5+","File","Size"
20,"""xxxxxxxx
yyyyyyyy""",1,1,1.83037302864769E-04,1.15448831290294E-04,1.95822419440263E-03,2.64059401924035E-04,26485,41254,2546,18550,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_0001_x_001_Ascii.csv",26
20,"""xxxxxxxx
yyyyyyyy""",2,1,1.85553546171169E-04,1.2276689263269E-04,1.97131996112096E-03,2.48042298643466E-04,26137,38905,2529,19701,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_0002_x_001_Ascii.csv",52
20,"""xxxxxxxx
yyyyyyyy""",4,1,1.90211602336881E-04,1.29130022666569E-04,2.08728846846999E-03,2.46977553366353E-04,25515,37070,2389,19784,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_0004_x_001_Ascii.csv",104
20,"""xxxxxxxx
yyyyyyyy""",8,1,2.03095612696843E-04,1.49612646357558E-04,2.2278827779921E-03,2.57140359472516E-04,23941,32183,2239,19023,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_0008_x_001_Ascii.csv",208
20,"""xxxxxxxx
yyyyyyyy""",16,1,2.28248510230313E-04,1.84225984495087E-04,2.53199338195066E-03,2.57975064820134E-04,21368,26319,1971,18959,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_0016_x_001_Ascii.csv",416
20,"""xxxxxxxx
yyyyyyyy""",32,1,2.74023489055503E-04,2.50643111406537E-04,3.10843007998171E-03,2.80534934433148E-04,17872,19502,1606,17465,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_0032_x_001_Ascii.csv",832
20,"""xxxxxxxx
yyyyyyyy""",64,1,3.62216637808103E-04,3.84754112175809E-04,4.28393675424484E-03,2.75289050774264E-04,13589,12804,1166,17791,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_0064_x_001_Ascii.csv",1664
20,"""xxxxxxxx
yyyyyyyy""",128,1,5.45573378197324E-04,6.61666441257127E-04,6.87951781365192E-03,2.8565733015794E-04,9070,7492,727,17158,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_0128_x_001_Ascii.csv",3328
20,"""xxxxxxxx
yyyyyyyy""",256,1,9.43226177466734E-04,1.35084891602005E-03,1.14390629491419E-02,3.20002195789624E-04,5270,3686,437,15349,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_0256_x_001_Ascii.csv",6656
20,"""xxxxxxxx
yyyyyyyy""",512,1,1.60016724648368E-03,2.2873577494609E-03,2.06239538363161E-02,4.49953507008745E-04,3114,2181,243,10972,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_0512_x_001_Ascii.csv",13312
20,"""xxxxxxxx
yyyyyyyy""",1024,1,3.02996391237866E-03,4.54975973255829E-03,3.93964764214695E-02,6.02150810562306E-04,1648,1098,127,8225,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_1024_x_001_Ascii.csv",26624
20,"""xxxxxxxx
yyyyyyyy""",2048,1,5.89617861745206E-03,8.93968385317595E-03,7.74619896134548E-02,7.58774068883788E-04,848,559,65,6540,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_2048_x_001_Ascii.csv",53248
20,"""xxxxxxxx
yyyyyyyy""",4096,1,1.18046862825491E-02,1.76258589904868E-02,0.154373945044706,1.14868024626946E-03,424,284,33,4332,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_4096_x_001_Ascii.csv",106496
20,"""xxxxxxxx
yyyyyyyy""",8192,1,2.58314181781006E-02,3.64193198141216E-02,0.297080095133898,2.84975921149343E-03,194,138,17,1751,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_8192_x_001_Ascii.csv",212992
20,"""xxxxxxxx
yyyyyyyy""",16384,1,4.80020537892756E-02,7.27269393793541E-02,0.579071859186037,4.6743229309222E-03,105,69,9,1069,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_16384_x_001_Ascii.csv",425984
20,"""xxxxxxxx
yyyyyyyy""",32768,1,9.80823127808774E-02,0.14795355101619,1.13194642807501,8.45617688637183E-03,51,34,5,591,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_32768_x_001_Ascii.csv",851968
