"Performance",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"This data generated 06-November-2022 18:56:40",,,,,,,,,,,,"Chart_1_Time_v_Rows.jpg",
,,,,,,,,,,,,"Parse Time v Num Rows. Log Scales.
One column of 1-char fields.",
"Field Length","Each Field Contains","Num Rows","Num Cols","CSVRead
v0.21(177)","sdkn104
v1.9","ws_garcia
v3.1.5","CSV.jl
v0.8.5+","NCalls
CSVRead
v0.21(177)","NCalls
sdkn104
v1.9","NCalls
ws_garcia
v3.1.5","NCalls
CSV.jl
v0.8.5+","File","Size"
1,"x",1,1,3.66835802222592E-04,1.07680088422712E-04,1.74349202568052E-03,2.82431267294448E-04,13399,43848,2858,17314,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0001_x_001_Ascii.csv",3
1,"x",2,1,3.68536602857255E-04,1.12790159802005E-04,1.7874323442287E-03,2.76005880155415E-04,13338,41967,2788,17708,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0002_x_001_Ascii.csv",6
1,"x",4,1,3.67944053373197E-04,1.13396003834747E-04,1.72388509804914E-03,3.18533913798575E-04,13359,41755,2890,15390,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0004_x_001_Ascii.csv",12
1,"x",8,1,3.72783012231866E-04,1.18965787362427E-04,2.11098022349388E-03,2.832844194585E-04,13188,39899,2362,17263,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0008_x_001_Ascii.csv",24
1,"x",16,1,3.51658743066469E-04,1.29111702458987E-04,1.72031544167958E-03,2.86028186540207E-04,13967,36911,2896,17101,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0016_x_001_Ascii.csv",48
1,"x",32,1,3.80456628409396E-04,1.4695358138163E-04,1.78733033562133E-03,2.89961479635894E-04,12927,32615,2788,16874,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0032_x_001_Ascii.csv",96
1,"x",64,1,3.95669725623608E-04,1.89015122925572E-04,1.90525393134101E-03,2.96091369463349E-04,12438,25593,2616,16532,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0064_x_001_Ascii.csv",192
1,"x",128,1,4.58205414578942E-04,2.55912528274526E-04,2.14867463821887E-03,3.00339643873648E-04,10763,19065,2321,16303,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0128_x_001_Ascii.csv",384
1,"x",256,1,5.87788783696329E-04,3.98896201680561E-04,2.64312061128658E-03,0.000282982731922,8416,12339,1888,17281,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0256_x_001_Ascii.csv",768
1,"x",512,1,8.41969052571189E-04,6.90312391345069E-04,3.60684401128159E-03,3.06460436812818E-04,5894,7178,1384,15984,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0512_x_001_Ascii.csv",1536
1,"x",1024,1,1.33450474387287E-03,1.25567505963821E-03,5.67257656837586E-03,3.61565210460638E-04,3729,3962,881,13590,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_1024_x_001_Ascii.csv",3072
1,"x",2048,1,2.35228743532118E-03,2.49844867557677E-03,9.6771702545624E-03,5.02916314160934E-04,2120,1997,517,9818,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_2048_x_001_Ascii.csv",6144
1,"x",4096,1,5.0188383777675E-03,4.86416222964339E-03,2.12025598602795E-02,9.58339887168054E-04,995,1027,237,5183,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_4096_x_001_Ascii.csv",12288
