"Performance",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"This data generated 28-October-2022 12:23:00",,,,,,,,,,,,"Chart_1_Time_v_Rows.jpg",
,,,,,,,,,,,,"Parse Time v Num Rows. Log Scales.
One column of 1-char fields.",
"Field Length","Each Field Contains","Num Rows","Num Cols","CSVRead
v0.17","sdkn104
v1.9","ws_garcia
v3.1.5","CSV.jl
v0.8.5+","NCalls
CSVRead
v0.17","NCalls
sdkn104
v1.9","NCalls
ws_garcia
v3.1.5","NCalls
CSV.jl
v0.8.5+","File","Size"
1,"x",1,1,1.78179039831078E-04,1.23412645435073E-04,1.79270586436575E-03,2.82049421293048E-04,27040,38419,2779,17314,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0001_x_001_Ascii.csv",3
1,"x",2,1,1.86413508519718E-04,1.35894186016895E-04,1.86309590881564E-03,2.75624034154014E-04,25887,35057,2675,17708,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0002_x_001_Ascii.csv",6
1,"x",4,1,1.98893558060874E-04,1.33411489644126E-04,1.92651618388584E-03,3.18152067797174E-04,24316,35678,2587,15390,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0004_x_001_Ascii.csv",12
1,"x",8,1,1.89210446678702E-04,1.35054914229533E-04,1.78760431400595E-03,2.82902573457099E-04,25519,35264,2787,17263,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0008_x_001_Ascii.csv",24
1,"x",16,1,2.00804990181693E-04,1.4456912777305E-04,1.78965503805895E-03,2.85646340538806E-04,24092,33047,2784,17101,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0016_x_001_Ascii.csv",48
1,"x",32,1,2.21399097643435E-04,1.62943659091674E-04,1.84964027684942E-03,2.89579633634493E-04,21918,29468,2694,16874,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0032_x_001_Ascii.csv",96
1,"x",64,1,2.64593203651587E-04,2.16051498014201E-04,2.49102891486929E-03,2.95709523461948E-04,18428,22444,2002,16532,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0064_x_001_Ascii.csv",192
1,"x",128,1,3.35889164314338E-04,2.72583637339408E-04,2.35564976484518E-03,2.99957797872247E-04,14594,17901,2117,16303,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0128_x_001_Ascii.csv",384
1,"x",256,1,4.77864837883659E-04,4.12624798390621E-04,2.78386756368726E-03,2.82600885920599E-04,10318,11923,1792,17281,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0256_x_001_Ascii.csv",768
1,"x",512,1,7.73596099477776E-04,7.19026866554761E-04,4.00349456713002E-03,3.06078590811417E-04,6408,6890,1247,15984,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0512_x_001_Ascii.csv",1536
1,"x",1024,1,1.40365762799428E-03,1.32358455954957E-03,5.99176589801618E-03,3.61183364459237E-04,3546,3759,834,13590,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_1024_x_001_Ascii.csv",3072
1,"x",2048,1,2.4649081408069E-03,2.53792313165637E-03,1.00482563402611E-02,5.02534468159533E-04,2023,1965,498,9818,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_2048_x_001_Ascii.csv",6144
1,"x",4096,1,5.42107326164293E-03,5.11397355676394E-03,1.82084846874221E-02,9.57958041166653E-04,922,977,275,5183,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_4096_x_001_Ascii.csv",12288
1,"x",8192,1,9.40399397340768E-03,9.42646445962949E-03,3.54571572671392E-02,1.50749957569697E-03,532,531,141,3302,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_8192_x_001_Ascii.csv",24576
1,"x",16384,1,1.89973400208113E-02,2.02932726602899E-02,6.86860657800436E-02,2.78812324026803E-03,264,247,73,1789,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_16384_x_001_Ascii.csv",49152
1,"x",32768,1,3.88669165474151E-02,4.06040165846667E-02,0.152070902141999,4.3381833852439E-03,130,124,33,1151,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_32768_x_001_Ascii.csv",98304
1,"x",65536,1,7.85666642119444E-02,7.85972079689649E-02,0.272441376306975,7.77709140167254E-03,64,64,19,643,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_65536_x_001_Ascii.csv",196608
1,"x",131072,1,0.159572100154588,0.16199267868793,0.530528225781568,1.65807238125518E-02,32,31,10,303,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_131072_x_001_Ascii.csv",393216
1,"x",262144,1,0.338577239107513,0.387100396544917,1.03217612577992,3.09253640371592E-02,15,13,5,162,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_262144_x_001_Ascii.csv",786432
1,"x",524288,1,0.640168115784586,0.662106778294952,2.01182599910614,6.22278352569166E-02,8,8,3,81,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_524288_x_001_Ascii.csv",1572864
1,"x",1048576,1,1.25779704074067,1.27646079077077,3.9950963156849,0.134151161819869,4,4,2,38,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_1048576_x_001_Ascii.csv",3145728
1,"x",2097152,1,2.5548323657682,2.76749136572162,8.05454696592333,0.278604369471643,2,2,1,18,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_2097152_x_001_Ascii.csv",6291456
,,,,,,,,,,,,,
,,,,,,,,,,,,,2.46257096328441
,,,,,,,,,,,,"Chart_2_Time_v_Rows.jpg",820856.987761471
,,,,,,,,,,,,"Parse Time v Num Rows. Log Scales.
One column of 32-char fields.",
"Field Length","Each Field Contains","Num Rows","Num Cols","CSVRead
v0.17","sdkn104
v1.9","ws_garcia
v3.1.5","CSV.jl
v0.8.5+","NCalls
CSVRead
v0.17","NCalls
sdkn104
v1.9","NCalls
ws_garcia
v3.1.5","NCalls
CSV.jl
v0.8.5+","File","Size"
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",1,1,1.81192376256362E-04,1.25142918977872E-04,1.77123833398775E-03,3.35309833272923E-04,26607,37915,2813,14618,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_0001_x_001_Ascii.csv",34
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",2,1,1.81630859938812E-04,1.30803952615222E-04,2.00188172177761E-03,2.87946952102831E-04,26545,36354,2490,17015,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_0002_x_001_Ascii.csv",68
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",4,1,1.91057209965001E-04,1.39086440608302E-04,2.76060501430621E-03,2.72495254688763E-04,25280,34289,1807,17910,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_0004_x_001_Ascii.csv",136
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",8,1,2.29747106912535E-04,1.59858681309654E-04,3.48493100148061E-03,2.78653905852485E-04,21145,30014,1432,17520,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_0008_x_001_Ascii.csv",272
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",16,1,2.36968405094355E-04,2.02463121209318E-04,2.09859188329992E-03,2.87799236999546E-04,20517,23901,2375,16976,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_0016_x_001_Ascii.csv",544
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",32,1,3.82790670899494E-04,2.56070681809833E-04,2.4883617859406E-03,2.86280311519467E-04,12839,19026,2004,17064,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_0032_x_001_Ascii.csv",1088
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",64,1,3.80180169841275E-04,3.21438336408505E-04,2.58820859064552E-03,2.72423837291776E-04,12924,15236,1927,17911,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_0064_x_001_Ascii.csv",2176
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",128,1,6.19704277124273E-04,5.7399351319435E-04,2.56970462399994E-03,3.02212886253671E-04,7982,8610,1941,16184,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_0128_x_001_Ascii.csv",4352
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",256,1,1.02601728564295E-03,9.45121422423096E-04,3.57277730284268E-03,3.91989860933213E-04,4842,5253,1397,12540,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_0256_x_001_Ascii.csv",8704
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",512,1,1.72743072252429E-03,1.75363885089269E-03,4.46621479404816E-03,4.09724215446547E-04,2884,2841,1118,12006,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_0512_x_001_Ascii.csv",17408
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",1024,1,2.95609747227054E-03,2.93091633593195E-03,6.70935933524158E-03,5.18641421583767E-04,1688,1703,745,9517,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_1024_x_001_Ascii.csv",34816
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",2048,1,5.67429721944992E-03,5.81433795490624E-03,1.12698664537986E-02,7.095981562221E-04,881,859,444,6980,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_2048_x_001_Ascii.csv",69632
