"Performance",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"This data generated 09-November-2022 16:14:31",,,,,,,,,,,,"Chart_1_Time_v_Rows.jpg",
,,,,,,,,,,,,"Parse Time v Num Rows. Log Scales.
One column of 1-char fields.",
"Field Length","Each Field Contains","Num Rows","Num Cols","CSVRead
v0.21(190)","sdkn104
v1.9","ws_garcia
v3.1.5","CSV.jl
v0.8.5+","NCalls
CSVRead
v0.21(190)","NCalls
sdkn104
v1.9","NCalls
ws_garcia
v3.1.5","NCalls
CSV.jl
v0.8.5+","File","Size"
1,"x",1,1,5.18740814417037E-04,1.63760634938049E-04,2.05561520154232E-03,2.85252241294218E-04,9574,29888,2429,17314,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0001_x_001_Ascii.csv",3
1,"x",2,1,4.95179159487655E-04,1.72483819600954E-04,2.34993904506212E-03,2.78826854155184E-04,10027,28407,2125,17708,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0002_x_001_Ascii.csv",6
1,"x",4,1,4.96862293585522E-04,1.53077778317408E-04,2.10975486172663E-03,3.21354887798344E-04,9993,31927,2366,15390,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0004_x_001_Ascii.csv",12
1,"x",8,1,4.92682828424862E-04,1.56965400979193E-04,2.12409203484056E-03,2.86105393458269E-04,10077,31154,2351,17263,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0008_x_001_Ascii.csv",24
1,"x",16,1,4.63275375444544E-04,1.72951087764676E-04,2.04596896685591E-03,2.88849160539976E-04,10712,28332,2440,17101,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0016_x_001_Ascii.csv",48
1,"x",32,1,4.91883895728815E-04,1.99656967635122E-04,0.002207229650166,2.92782453635663E-04,10093,24608,2262,16874,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0032_x_001_Ascii.csv",96
1,"x",64,1,5.18362283421609E-04,2.46914082597385E-04,2.32536799250997E-03,2.98912343463118E-04,9581,19965,2147,16532,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0064_x_001_Ascii.csv",192
1,"x",128,1,6.02935171676949E-04,3.44398080987864E-04,0.002721742439955,3.03160617873417E-04,8245,14371,1835,16303,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0128_x_001_Ascii.csv",384
1,"x",256,1,8.03971488352415E-04,5.74156571660363E-04,3.20990349516065E-03,2.85803705921769E-04,6193,8656,1556,17281,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0256_x_001_Ascii.csv",768
1,"x",512,1,1.11597459755216E-03,8.98610524753381E-04,4.47776868760237E-03,3.09281410812587E-04,4467,5543,1116,15984,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0512_x_001_Ascii.csv",1536
1,"x",1024,1,1.83959392052516E-03,1.64268673492007E-03,7.41328519057845E-03,3.64386184460407E-04,2713,3038,675,13590,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_1024_x_001_Ascii.csv",3072
1,"x",2048,1,3.15633701240323E-03,3.08176927657349E-03,1.57017090367723E-02,5.05737288160703E-04,1583,1621,319,9818,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_2048_x_001_Ascii.csv",6144
1,"x",4096,1,6.25651640773408E-03,5.88494753918802E-03,2.17691994675546E-02,9.61160861167823E-04,799,850,230,5183,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_4096_x_001_Ascii.csv",12288
1,"x",8192,1,0.010742489198879,0.011605421498158,4.40134115803166E-02,1.51070239569814E-03,466,431,114,3302,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_8192_x_001_Ascii.csv",24576
1,"x",16384,1,2.19297502574738E-02,0.024706349878762,7.32130381632296E-02,2.7913260602692E-03,229,203,69,1789,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_16384_x_001_Ascii.csv",49152
1,"x",32768,1,5.07782302139414E-02,5.71198833712451E-02,0.176946020322427,4.34138620524507E-03,99,88,29,1151,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_32768_x_001_Ascii.csv",98304
1,"x",65536,1,8.70841099778118E-02,0.164804258921281,0.368250968598538,7.78029422167371E-03,58,31,14,643,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_65536_x_001_Ascii.csv",196608
1,"x",131072,1,0.181188611453642,0.185785353781649,0.62571248110038,1.65839266325529E-02,28,27,8,303,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_131072_x_001_Ascii.csv",393216
1,"x",262144,1,0.353862935264416,0.379713954311107,1.20817814860351,3.09285668571603E-02,15,14,5,162,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_262144_x_001_Ascii.csv",786432
1,"x",524288,1,0.739759082887897,0.800522554315138,2.36434153525482,6.22310380769178E-02,7,7,3,81,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_524288_x_001_Ascii.csv",1572864
1,"x",1048576,1,1.38378736859744,1.54071834360224,4.87101701859359,0.13415436463987,4,4,2,38,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_1048576_x_001_Ascii.csv",3145728
1,"x",2097152,1,2.78310781859767,3.0113982686002,9.63918566860815,0.278607572291644,2,2,1,18,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_2097152_x_001_Ascii.csv",6291456
,,,,,,,,,,,,,
,,,,,,,,,,,,,2.26058651337845
,,,,,,,,,,,,"Chart_2_Time_v_Rows.jpg",753528.837792815
,,,,,,,,,,,,"Parse Time v Num Rows. Log Scales.
One column of 32-char fields.",
"Field Length","Each Field Contains","Num Rows","Num Cols","CSVRead
v0.21(190)","sdkn104
v1.9","ws_garcia
v3.1.5","CSV.jl
v0.8.5+","NCalls
CSVRead
v0.21(190)","NCalls
sdkn104
v1.9","NCalls
ws_garcia
v3.1.5","NCalls
CSV.jl
v0.8.5+","File","Size"
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",1,1,4.4895095253802E-04,1.5326152054698E-04,2.39882296881449E-03,3.38512653274093E-04,11051,31890,2082,14618,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_0001_x_001_Ascii.csv",34
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",2,1,4.26975907512289E-04,1.56708817202002E-04,2.6072718339002E-03,2.91149772104001E-04,11615,31204,1916,17015,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_0002_x_001_Ascii.csv",68
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",4,1,4.53590528705125E-04,1.65624496371261E-04,2.4207743178153E-03,2.75698074689933E-04,10939,29559,2063,17910,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_0004_x_001_Ascii.csv",136
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",8,1,4.5067273097977E-04,1.77935996562544E-04,2.80889576334819E-03,2.81856725853655E-04,11009,27554,1778,17520,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_0008_x_001_Ascii.csv",272
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",16,1,4.94602070800276E-04,2.0374461259312E-04,2.63189868228949E-03,2.91002057000716E-04,10038,24123,1898,16976,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_0016_x_001_Ascii.csv",544
