,,,,,,,,,,,,,,,
"Performance",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"This data generated 05-October-2021 19:03:58",,,,,,,,,,,,,,"Chart_1_Time_v_Rows.jpg",
,,,,,,,,,,,,,,"Parse Time v Num Rows. Log Scales.
One column of 1-char fields.",
"Field Length","Each Field Contains","Num Rows","Num Cols","CSVRead
v0.4","sdkn104
v1.9","ws_garcia
v3.1.5","ArrayFromCSVfile","CSV.jl
v0.8.5+","NCalls
CSVRead
v0.4","NCalls
sdkn104
v1.9","NCalls
ws_garcia
v3.1.5","NCalls
ArrayFromCSVfile","NCalls
CSV.jl
v0.8.5+","File","Size"
1,"x",1,1,1.92458102385992E-04,1.35943062994375E-04,5.68865392491472E-03,1.34981111141145E-04,2.88783643294444E-04,25980,36781,879,37043,17314,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0001_x_001_Ascii.csv",3
1,"x",2,1,2.21634457692712E-04,1.58517442855573E-04,3.55795248933478E-03,1.53157775599708E-04,2.8235825615541E-04,22561,31543,1406,32647,17708,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0002_x_001_Ascii.csv",6
1,"x",4,1,2.25814221198509E-04,1.60399679209497E-04,3.54151218130221E-03,1.54434438027345E-04,3.2488628979857E-04,22143,31173,1412,32377,15390,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0004_x_001_Ascii.csv",12
1,"x",8,1,2.35374198559737E-04,1.66451056959379E-04,3.58063650679611E-03,1.60802733558565E-04,2.89636795458495E-04,21243,30039,1397,31095,17263,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0008_x_001_Ascii.csv",24
1,"x",16,1,2.51084277393006E-04,1.78399065220199E-04,3.53773599717344E-03,1.70354894211571E-04,2.92380562540202E-04,19914,28028,1414,29351,17101,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0016_x_001_Ascii.csv",48
1,"x",32,1,2.75783437207065E-04,1.9946322004169E-04,3.71338121752065E-03,1.94066811565941E-04,2.9631385563589E-04,18131,25068,1347,25765,16874,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0032_x_001_Ascii.csv",96
1,"x",64,1,3.39955806363516E-04,2.49000388426518E-04,3.78655208175624E-03,2.39130176948781E-04,3.02443745463344E-04,14708,20081,1321,20910,16532,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0064_x_001_Ascii.csv",192
1,"x",128,1,4.68835077355814E-04,3.38114910739083E-04,5.73057766323285E-03,3.79852286539583E-04,3.06692019873643E-04,10665,14788,873,13164,16303,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0128_x_001_Ascii.csv",384
1,"x",256,1,6.79686230799225E-04,5.19462611677654E-04,5.29725752118284E-03,4.91229993123673E-04,2.89335107921995E-04,7357,9626,944,10179,17281,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0256_x_001_Ascii.csv",768
1,"x",512,1,1.11094634525773E-03,8.65707635042217E-04,6.52457614081112E-03,8.40314434546726E-04,3.12812812812813E-04,4501,5776,767,5951,15984,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0512_x_001_Ascii.csv",1536
1,"x",1024,1,2.05105242001483E-03,1.5616634603354E-03,9.67532804639892E-03,1.64321327637168E-03,3.67917586460633E-04,2438,3202,517,3043,13590,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_1024_x_001_Ascii.csv",3072
1,"x",2048,1,3.93746976377892E-03,3.11926375545927E-03,1.52573073171037E-02,2.84779510250603E-03,5.09268690160929E-04,1270,1603,328,1756,9818,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_2048_x_001_Ascii.csv",6144
1,"x",4096,1,7.48541748879605E-03,5.67341043083647E-03,3.02191090361385E-02,5.57330623607762E-03,9.64692263168049E-04,669,882,166,898,5183,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_4096_x_001_Ascii.csv",12288
1,"x",8192,1,1.53866083076886E-02,1.14948662068834E-02,4.87410339806003E-02,1.11115988888842E-02,1.51423379769836E-03,325,435,103,450,3302,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_8192_x_001_Ascii.csv",24576
1,"x",16384,1,2.92580742689363E-02,2.24989466367847E-02,9.02336874998062E-02,0.022499586547077,2.79485746226942E-03,171,223,56,223,1789,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_16384_x_001_Ascii.csv",49152
