1,"x",32768,1,5.75518931035386E-02,4.60983357797302E-02,0.177654200000187,4.76956390476386E-02,4.34491760724529E-03,87,109,29,105,1151,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_32768_x_001_Ascii.csv",98304
1,"x",65536,1,0.115243484090818,9.23896963636666E-02,0.347798266666359,9.48445641510913E-02,7.78382562367393E-03,44,55,15,53,643,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_65536_x_001_Ascii.csv",196608
1,"x",131072,1,0.23830430000023,0.182516935713855,0.667242412500855,0.189523051851817,1.65874580345532E-02,22,28,8,27,303,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_131072_x_001_Ascii.csv",393216
1,"x",262144,1,0.463971527272158,0.358193671428515,1.31816992499807,0.521974400000181,3.09320982591605E-02,11,14,4,10,162,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_262144_x_001_Ascii.csv",786432
1,"x",524288,1,0.938459116667218,0.715290385716279,2.59065620000183,1.43707809999978,0.062234569478918,6,7,2,4,81,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_524288_x_001_Ascii.csv",1572864
1,"x",1048576,1,1.80354233333492,1.47805147500185,5.22109300000011,4.26091380000435,0.13415789604187,3,4,1,2,38,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_1048576_x_001_Ascii.csv",3145728
1,"x",2097152,1,3.64620575000299,2.93065225000464,9.95570770000631,14.9668437000073,0.278611103693644,2,2,1,1,18,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_2097152_x_001_Ascii.csv",6291456
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1.72548024751342
,,,,,,,,,,,,,,"Chart_2_Time_v_Rows.jpg",575160.082504472
,,,,,,,,,,,,,,"Parse Time v Num Rows. Log Scales.
One column of 32-char fields.",
"Field Length","Each Field Contains","Num Rows","Num Cols","CSVRead
v0.4","sdkn104
v1.9","ws_garcia
v3.1.5","ArrayFromCSVfile","CSV.jl
v0.8.5+","NCalls
CSVRead
v0.4","NCalls
sdkn104
v1.9","NCalls
ws_garcia
v3.1.5","NCalls
ArrayFromCSVfile","NCalls
CSV.jl
v0.8.5+","File","Size"
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",1,1,1.97740362255714E-04,1.45512865956657E-04,5.63975276212928E-03,1.39242142638385E-04,3.42044055274319E-04,25286,34362,887,35909,14618,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_0001_x_001_Ascii.csv",34
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",2,1,2.08340104166685E-04,1.61965334283686E-04,6.69912690762508E-03,1.40456782494019E-04,2.94681174104227E-04,24000,30872,747,35599,17015,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_0002_x_001_Ascii.csv",68
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",4,1,2.22464201815368E-04,1.55798485651235E-04,0.005545877827056,1.4769216659278E-04,2.79229476690159E-04,22476,32093,902,33855,17910,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_0004_x_001_Ascii.csv",136
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",8,1,2.27481842584587E-04,1.66595811815357E-04,5.85232596491785E-03,1.60231055920192E-04,2.85388127853881E-04,21980,30013,855,31205,17520,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_0008_x_001_Ascii.csv",272
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",16,1,2.59081403180968E-04,1.92456114083288E-04,1.30018516883251E-02,2.50608480352458E-04,2.94533459000942E-04,19299,25981,385,19952,16976,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_0016_x_001_Ascii.csv",544
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",32,1,4.17330373091236E-04,3.3560811463846E-04,1.07614253219187E-02,2.57459281189763E-04,2.93014533520863E-04,11981,14899,466,19421,17064,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_0032_x_001_Ascii.csv",1088
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",64,1,4.268794245713E-04,3.48064840596578E-04,6.40366542895078E-03,3.25869004171123E-04,2.79158059293172E-04,11713,14366,781,15344,17911,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_0064_x_001_Ascii.csv",2176
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",128,1,6.29124974835132E-04,5.34499102084622E-04,8.9028714032187E-03,5.54222168034786E-04,3.08947108255067E-04,7948,9355,563,9022,16184,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_0128_x_001_Ascii.csv",4352
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",256,1,1.12538987170861E-03,9.46872429463373E-04,7.4308643387698E-03,9.05419355423389E-04,3.98724082934609E-04,4443,5281,673,5523,12540,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_0256_x_001_Ascii.csv",8704
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",512,1,2.19226247260077E-03,1.66569616921916E-03,9.02796895307319E-03,1.74428196721374E-03,4.16458437447943E-04,2281,3002,554,2867,12006,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_0512_x_001_Ascii.csv",17408
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",1024,1,3.66095146412725E-03,3.28259061679905E-03,1.19554603818333E-02,3.25327130773731E-03,5.25375643585163E-04,1366,1524,419,1537,9517,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_1024_x_001_Ascii.csv",34816
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",2048,1,7.38472286136175E-03,6.31743106062302E-03,1.85262333333311E-02,7.43905794947757E-03,7.16332378223496E-04,678,792,270,673,6980,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_2048_x_001_Ascii.csv",69632
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",4096,1,1.54370092592374E-02,1.28121948848991E-02,3.22102314102477E-02,1.39305966573947E-02,1.12688753662384E-03,324,391,156,359,4437,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_4096_x_001_Ascii.csv",139264
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",8192,1,3.00839850299122E-02,2.72096864129866E-02,6.06083566263663E-02,0.028394723163821,2.22311104668511E-03,167,184,83,177,2250,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_8192_x_001_Ascii.csv",278528
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",16384,1,6.18133098765544E-02,5.93899505882291E-02,0.10013271200005,6.00465095237832E-02,4.28988001154381E-03,81,85,50,84,1166,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_16384_x_001_Ascii.csv",557056
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",32768,1,0.125937392500055,0.108733928260968,0.202765283999615,0.123680146341496,7.60790243699558E-03,40,46,25,41,658,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_32768_x_001_Ascii.csv",1114112
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",65536,1,0.248930576190885,0.208911179167141,0.365990357142956,0.250140329999704,1.42045454545455E-02,21,24,14,20,352,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_65536_x_001_Ascii.csv",2228224
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",131072,1,0.501889460001257,0.422591433332855,0.733074857142388,0.500888490909181,2.88965523928061E-02,10,12,7,11,174,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_131072_x_001_Ascii.csv",4456448
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",262144,1,0.947725750001458,0.849030016666802,1.51764692500001,1.22965023999859,6.13780486874464E-02,6,6,4,5,82,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_262144_x_001_Ascii.csv",8912896
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",524288,1,1.95300490000227,1.73390266666926,2.94796700000006,2.64330090000294,0.111600001653035,3,3,2,2,45,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_524288_x_001_Ascii.csv",17825792
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",1048576,1,4.02590894999594,3.57719465000264,6.20689189998666,6.7599382000044,0.241238094511486,2,2,1,1,21,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_1048576_x_001_Ascii.csv",35651584
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,8.85553658634927
,,,,,,,,,,,,,,,260456.958422037
,,,,,,,,,,,,,,"Chart_3_Time_v_Rows.jpg",
,,,,,,,,,,,,,,"Parse Time v Num Rows. Log Scales.
One column of 20-char fields with embedded breaks.",
"Field Length","Each Field Contains","Num Rows","Num Cols","CSVRead
v0.4","sdkn104
v1.9","ws_garcia
v3.1.5","ArrayFromCSVfile","CSV.jl
v0.8.5+","NCalls
CSVRead
v0.4","NCalls
sdkn104
v1.9","NCalls
ws_garcia
v3.1.5","NCalls
ArrayFromCSVfile","NCalls
CSV.jl
v0.8.5+","File","Size"
20,"""xxxxxxxx
yyyyyyyy""",1,1,2.08370424237172E-04,1.48222280192192E-04,4.40250114436015E-03,1.4819914935267E-04,2.69811326924039E-04,23996,33734,1136,33739,18550,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_0001_x_001_Ascii.csv",26
20,"""xxxxxxxx
yyyyyyyy""",2,1,2.12488202796524E-04,1.53248092071137E-04,5.42526800434371E-03,1.45346763175371E-04,2.5379422364347E-04,23531,32627,922,34401,19701,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_0002_x_001_Ascii.csv",52
20,"""xxxxxxxx
yyyyyyyy""",4,1,2.22204039640579E-04,1.62372384231079E-04,4.86569640077802E-03,1.50782787008622E-04,2.52729478366357E-04,22502,30794,1028,33161,19784,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_0004_x_001_Ascii.csv",104
20,"""xxxxxxxx
yyyyyyyy""",8,1,2.49548445376638E-04,1.83058552390756E-04,5.16554659089925E-03,1.6875041511988E-04,2.6289228447252E-04,20037,27314,968,29630,19023,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_0008_x_001_Ascii.csv",208
20,"""xxxxxxxx
yyyyyyyy""",16,1,2.88923951230529E-04,2.24158177171952E-04,5.56296329254215E-03,2.01042941578389E-04,2.63726989820138E-04,17306,22306,899,24871,18959,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_0016_x_001_Ascii.csv",416
20,"""xxxxxxxx
yyyyyyyy""",32,1,3.64841203939965E-04,3.12116248439024E-04,6.31736199495502E-03,2.6394093644411E-04,2.86286859433152E-04,13705,16020,792,18944,17465,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_0032_x_001_Ascii.csv",832
20,"""xxxxxxxx
yyyyyyyy""",64,1,5.15625843044921E-04,4.62454624491416E-04,8.02733884430318E-03,3.86177664503624E-04,2.81040975774268E-04,9697,10812,623,12948,17791,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_0064_x_001_Ascii.csv",1664
20,"""xxxxxxxx
yyyyyyyy""",128,1,8.22050123296343E-04,7.77147124650588E-04,1.05089380252314E-02,6.31218757890305E-04,2.91409255157944E-04,6083,6434,476,7922,17158,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_0128_x_001_Ascii.csv",3328
20,"""xxxxxxxx
yyyyyyyy""",256,1,1.45658919312258E-03,1.42969899942758E-03,1.64877190789316E-02,1.14652712058833E-03,3.25754120789628E-04,3433,3498,304,4362,15349,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_0256_x_001_Ascii.csv",6656
20,"""xxxxxxxx
yyyyyyyy""",512,1,2.71675904399655E-03,2.71897427950255E-03,2.83136706214561E-02,2.14719270072859E-03,4.5570543200875E-04,1841,1839,177,2329,10972,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_0512_x_001_Ascii.csv",13312
20,"""xxxxxxxx
yyyyyyyy""",1024,1,5.31881880978871E-03,5.56209966666453E-03,0.051172609183651,4.21718693085627E-03,6.0790273556231E-04,941,900,98,1186,8225,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_1024_x_001_Ascii.csv",26624
20,"""xxxxxxxx
yyyyyyyy""",2048,1,1.01677634146602E-02,1.02950724279781E-02,9.84512078430271E-02,8.71612369339428E-03,7.64525993883792E-04,492,486,51,574,6540,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_2048_x_001_Ascii.csv",53248
20,"""xxxxxxxx
yyyyyyyy""",4096,1,2.02970741935837E-02,2.07198760330327E-02,0.218793937500474,3.03967581818473E-02,1.15443217126947E-03,248,242,24,165,4332,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_4096_x_001_Ascii.csv",106496
20,"""xxxxxxxx
yyyyyyyy""",8192,1,6.26626312499866E-02,5.24342979166856E-02,0.461405772727713,0.038234445801514,2.85551113649343E-03,80,96,11,131,1751,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_8192_x_001_Ascii.csv",212992
20,"""xxxxxxxx
yyyyyyyy""",16384,1,0.10175671999983,0.101844662000076,0.781828185713883,0.083798428333345,4.6800748559222E-03,50,50,7,60,1069,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_16384_x_001_Ascii.csv",425984
20,"""xxxxxxxx
yyyyyyyy""",32768,1,0.163594032258017,0.181289614285821,1.54612342499968,0.157577756250248,8.46192881137183E-03,31,28,4,32,591,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_32768_x_001_Ascii.csv",851968
20,"""xxxxxxxx
yyyyyyyy""",65536,1,0.331696049999664,0.378210771428712,3.05435985000076,0.31542140000056,1.48809523809524E-02,16,14,2,16,336,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_65536_x_001_Ascii.csv",1703936
20,"""xxxxxxxx
yyyyyyyy""",131072,1,0.71999988571458,0.801995442855904,7.01907710000523,1.01431571999856,3.27516334508759E-02,7,7,1,5,153,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_131072_x_001_Ascii.csv",3407872
20,"""xxxxxxxx
yyyyyyyy""",262144,1,1.85302803333131,2.14591870000004,13.5865756999992,2.75944990000426,6.13414659732726E-02,3,3,1,2,82,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_262144_x_001_Ascii.csv",6815744
20,"""xxxxxxxx
yyyyyyyy""",524288,1,2.63063595000131,2.96644034999917,27.1791904999991,7.10857599999872,0.12019047282991,2,2,1,1,42,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_524288_x_001_Ascii.csv",13631488
20,"""xxxxxxxx
yyyyyyyy""",1048576,1,5.26148449999164,5.93870740001148,47.431599699994,23.7926236000058,0.318000003695488,1,1,1,1,16,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_1048576_x_001_Ascii.csv",27262976
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5.18161290792424
,,,,,,9.01487017591126,,,,,,,,,199292.804150932
,,,,,,16.5455485498357,,,,,,,,"Chart_4_Time_v_Rows.jpg",
,,,,,,,,,,,,,,"Parse Time v Num Rows. Log Scales.
10 columns of 17-char numeric fields (no quotes).",
"Field Length","Each Field Contains","Num Rows","Num Cols","CSVRead
v0.4","sdkn104
v1.9","ws_garcia
v3.1.5","ArrayFromCSVfile","CSV.jl
v0.8.5+","NCalls
CSVRead
v0.4","NCalls
sdkn104
v1.9","NCalls
ws_garcia
v3.1.5","NCalls
ArrayFromCSVfile","NCalls
CSV.jl
v0.8.5+","File","Size"
17,0.719057207097576,1,10,2.17158790063463E-04,1.54140538874003E-04,4.83671150871573E-03,1.5315705884155E-04,3.15338042381433E-04,23026,32438,1034,32647,15856,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_0001_x_010_Ascii.csv",181
17,0.719057207097576,2,10,2.48449962732949E-04,1.7732952441751E-04,5.35109251336678E-03,1.64817414378234E-04,3.14090081035241E-04,20125,28197,935,30337,15919,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_0002_x_010_Ascii.csv",362
17,0.719057207097576,4,10,2.94454490312629E-04,2.11506835871591E-04,5.82455983702232E-03,1.99965698859914E-04,3.17299149638279E-04,16981,23640,859,25005,15758,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_0004_x_010_Ascii.csv",724
17,0.719057207097576,8,10,3.98360253346103E-04,2.91335518266211E-04,5.76442834101177E-03,2.64777732471786E-04,3.34851326011251E-04,12552,17163,868,18884,14932,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_0008_x_010_Ascii.csv",1448
17,0.719057207097576,16,10,6.06097430302973E-04,4.59794133332901E-04,8.7122184668894E-03,4.17935631894692E-04,3.33333333333333E-04,8250,10875,574,11964,15000,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_0016_x_010_Ascii.csv",2896
17,0.719057207097576,32,10,9.59803857966845E-04,7.69475180798519E-04,6.72243440858829E-03,6.55333106160386E-04,3.59841669665347E-04,5210,6499,744,7630,13895,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_0032_x_010_Ascii.csv",5792
17,0.719057207097576,64,10,1.6827666554497E-03,1.33365178666621E-03,7.9324212361226E-03,1.17529276145576E-03,4.84496124031008E-04,2972,3750,631,4255,10320,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_0064_x_010_Ascii.csv",11584
17,0.719057207097576,128,10,3.71645334323579E-03,2.75469856828369E-03,1.04099436590301E-02,2.35896586515534E-03,5.20724848989794E-04,1346,1816,481,2121,9602,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_0128_x_010_Ascii.csv",23168
17,0.719057207097576,256,10,6.38722975733217E-03,5.06432884615676E-03,0.015610347663546,4.56659954338128E-03,7.90263948158685E-04,783,988,321,1095,6327,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_0256_x_010_Ascii.csv",46336
17,0.719057207097576,512,10,1.29687064766873E-02,1.02297591001992E-02,2.59369839378814E-02,9.43387551790037E-03,2.00561572402728E-03,386,489,193,531,2493,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_0512_x_010_Ascii.csv",92672
17,0.719057207097576,1024,10,3.30267019736838E-02,2.56768923076705E-02,5.82255431818339E-02,2.32103893518393E-02,1.70230825013719E-03,152,195,88,216,2946,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_1024_x_010_Ascii.csv",185344
17,0.719057207097576,2048,10,5.36888531914496E-02,4.34950278260816E-02,9.17426654545125E-02,4.34454120690573E-02,2.27732247993594E-03,94,115,55,116,2196,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_2048_x_010_Ascii.csv",370688
17,0.719057207097576,4096,10,0.112279131111184,9.16861818182621E-02,0.155080957575895,9.31126962963457E-02,3.39443312966735E-03,45,55,33,54,1473,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_4096_x_010_Ascii.csv",741376
17,0.719057207097576,8192,10,0.214954633333643,0.180250278571683,0.314914406249954,0.185754766666731,6.56880713696561E-03,24,28,16,27,763,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_8192_x_010_Ascii.csv",1482752
17,0.719057207097576,16384,10,0.448887133332998,0.379869285714189,0.644538599999578,0.380356392856421,1.15658196235639E-02,12,14,8,14,433,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_16384_x_010_Ascii.csv",2965504
17,0.719057207097576,32768,10,0.88336273333213,0.74828875714281,1.30367532499804,0.762367471428921,2.66595749144859E-02,6,7,4,7,188,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_32768_x_010_Ascii.csv",5931008
17,0.719057207097576,65536,10,1.78840006666239,1.49185209999996,2.38506763333377,1.51629840000169,4.39385970433553E-02,3,4,3,4,114,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_65536_x_010_Ascii.csv",11862016
17,0.719057207097576,131072,10,3.64084695000201,3.02358095000091,5.4075021000026,3.10220195000147,0.09294444543344,2,2,1,2,54,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_131072_x_010_Ascii.csv",23724032
17,0.719057207097576,262144,10,7.10620080000081,6.43662049999693,10.4575030999986,6.77099980000639,0.167033330599467,1,1,1,1,30,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_262144_x_010_Ascii.csv",47448064
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6.67699454819721
,,,,,,,,,,,,,,,368894.726419735
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"Chart_5_Time_v_Cols.jpg",
,,,,,,,,,,,,,,"Parse Time v Num Cols. Log Scales.
8 rows of 16-char fields (no quotes).",
"Field Length","Each Field Contains","Num Rows","Num Cols","CSVRead
v0.4","sdkn104
v1.9","ws_garcia
v3.1.5","ArrayFromCSVfile","CSV.jl
v0.8.5+","NCalls
CSVRead
v0.4","NCalls
sdkn104
v1.9","NCalls
ws_garcia
v3.1.5","NCalls
ArrayFromCSVfile","NCalls
CSV.jl
v0.8.5+","File","Size"
