"Performance",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"This data generated 10-September-2025 12:15:29 on computer PHILIP-HPZ1",,,,,,,,,,,,"Chart_1_Time_v_Rows.jpg",
,,,,,,,,,,,,"Parse Time v Num Rows. Log Scales.
One column of 1-char fields.",
"Field Length","Each Field Contains","Num Rows","Num Cols","CSVRead
v0.21(190)","sdkn104
v1.9","ws_garcia
v3.1.5","CSV.jl
v0.8.5+","NCalls
CSVRead
v0.21(190)","NCalls
sdkn104
v1.9","NCalls
ws_garcia
v3.1.5","NCalls
CSV.jl
v0.8.5+","File","Size"
1,"x",1,1,1.93039597627262E-04,8.28322424956394E-05,6.76522684030757E-04,2.88150463294439E-04,25817,59906,7384,17314,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0001_x_001_Ascii.csv",3
1,"x",2,1,1.94534181436526E-04,8.5308689059348E-05,6.89302264258916E-04,2.81725076155406E-04,25620,58179,7248,17708,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0002_x_001_Ascii.csv",6
1,"x",4,1,1.97672574739739E-04,8.76082085602797E-05,6.94101473329335E-04,3.24253109798566E-04,25214,56663,7197,15390,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0004_x_001_Ascii.csv",12
1,"x",8,1,2.01209917045006E-04,8.9937011645678E-05,7.04512878383424E-04,2.89003615458491E-04,24772,55206,7091,17263,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0008_x_001_Ascii.csv",24
1,"x",16,1,2.09468576376788E-04,9.43662747043339E-05,7.13461835707342E-04,2.91747382540198E-04,23799,52632,7002,17101,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0016_x_001_Ascii.csv",48
1,"x",32,1,2.16457094399654E-04,1.03185068826705E-04,7.5062627012097E-04,2.95680675635885E-04,23032,48162,6656,16874,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0032_x_001_Ascii.csv",96
1,"x",64,1,2.35362307798463E-04,1.23014871337777E-04,8.04330937838125E-04,3.01810565463339E-04,21187,40438,6212,16532,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0064_x_001_Ascii.csv",192
1,"x",128,1,2.71499197272132E-04,1.56762995275424E-04,9.09992625866469E-04,3.06058839873639E-04,18374,31767,5491,16303,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0128_x_001_Ascii.csv",384
1,"x",256,1,3.37562132816956E-04,2.29379029035418E-04,1.11764508475874E-03,2.88701927921991E-04,14785,21738,4472,17281,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0256_x_001_Ascii.csv",768
1,"x",512,1,4.72555463889276E-04,3.66183788675366E-04,1.54922916892911E-03,3.12179632812808E-04,10567,13631,3227,15984,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_0512_x_001_Ascii.csv",1536
1,"x",1024,1,7.30664260772545E-04,6.35061798390055E-04,2.3914876234508E-03,3.67284406460628E-04,6838,7866,2091,13590,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_1024_x_001_Ascii.csv",3072
1,"x",2048,1,1.26625417749262E-03,1.17951897954492E-03,4.03708780466278E-03,5.08635510160925E-04,3947,4237,1239,9818,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_2048_x_001_Ascii.csv",6144
1,"x",4096,1,2.27857356566525E-03,2.24455069966409E-03,7.39121320108381E-03,9.64059083168045E-04,2194,2227,677,5183,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_4096_x_001_Ascii.csv",12288
1,"x",8192,1,4.34946995043755E-03,4.39126453728208E-03,1.41457620177387E-02,1.51360061769836E-03,1150,1139,354,3302,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_8192_x_001_Ascii.csv",24576
1,"x",16384,1,8.41016547545112E-03,8.67468120474341E-03,2.74615908636169E-02,2.79422428226942E-03,595,577,183,1789,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_16384_x_001_Ascii.csv",49152
1,"x",32768,1,1.67485320374069E-02,1.73728109171505E-02,5.51096591277101E-02,4.34428442724529E-03,299,288,91,1151,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_32768_x_001_Ascii.csv",98304
1,"x",65536,1,3.59959027913386E-02,5.23342936243284E-02,0.200187838820882,7.78319244367393E-03,139,97,25,643,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_65536_x_001_Ascii.csv",196608
1,"x",131072,1,7.03059584865461E-02,7.02918237642176E-02,0.228535403182956,1.65868248545531E-02,72,72,22,303,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_131072_x_001_Ascii.csv",393216
1,"x",262144,1,0.145219775392017,0.141872691820536,0.438108508485336,3.09314650791605E-02,35,36,12,162,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_262144_x_001_Ascii.csv",786432
1,"x",524288,1,0.284347250153491,0.284202816819849,0.873720133486035,0.062233936298918,18,18,6,81,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_524288_x_001_Ascii.csv",1572864
1,"x",1048576,1,0.580934333485356,0.578175100154825,1.76866066682174,0.13415726286187,9,9,3,38,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_1048576_x_001_Ascii.csv",3145728
1,"x",2097152,1,1.17774406682295,1.15410022681756,3.47024381681988,0.278610470513644,5,5,2,18,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_1_2097152_x_001_Ascii.csv",6291456
,,,,,,,,,,,,,
,,,,,,,,,,,,,5.34195516430973
,,,,,,,,,,,,"Chart_2_Time_v_Rows.jpg",1780651.72143658
,,,,,,,,,,,,"Parse Time v Num Rows. Log Scales.
One column of 32-char fields.",
"Field Length","Each Field Contains","Num Rows","Num Cols","CSVRead
v0.21(190)","sdkn104
v1.9","ws_garcia
v3.1.5","CSV.jl
v0.8.5+","NCalls
CSVRead
v0.21(190)","NCalls
sdkn104
v1.9","NCalls
ws_garcia
v3.1.5","NCalls
CSV.jl
v0.8.5+","File","Size"
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",1,1,1.98937195987247E-04,8.54740615103008E-05,7.18758878697836E-04,3.41410875274315E-04,25054,58068,6951,14618,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_0001_x_001_Ascii.csv",34
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",2,1,1.98168140026575E-04,8.71837123546798E-05,7.1040528700749E-04,2.94047994104223E-04,25151,56937,7032,17015,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_0002_x_001_Ascii.csv",68
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",4,1,2.01156230387326E-04,9.09035151652111E-05,7.21534271264137E-04,2.78596296690155E-04,24779,54623,6925,17910,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_0004_x_001_Ascii.csv",136
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",8,1,2.048340523811E-04,9.52047522240703E-05,7.36346554707261E-04,2.84754947853877E-04,24335,52172,6785,17520,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_0008_x_001_Ascii.csv",272
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",16,1,2.11218527482958E-04,1.04823602806432E-04,7.41980378062524E-04,2.93900279000938E-04,23602,47414,6734,16976,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_0016_x_001_Ascii.csv",544
