"File Name","Size","CSVRead time","sdkn104 time","ws_garcia time","sFileShow time"
"C:\Projects\RDatasets\csv\openintro\military.csv",75834630,17.227298200014,19.0597069999785,38.2260239000316,39.744655699993
"C:\Projects\RDatasets\csv\mosaicData\Birthdays.csv",17041203,5.37923289998434,5.47507980000228,9.71185580000747,8.97477839997737
"C:\Projects\RDatasets\csv\stevedata\wvs_justifbribe.csv",13865923,3.65180829999736,3.69349169998895,7.58964459999697,6.75487200001953
"C:\Projects\RDatasets\csv\nycflights13\flights.csv",36662955,10.0413879000116,10.1517499000183,29.9894386999658,18.4015824000235
"C:\Projects\RDatasets\csv\stevedata\wvs_immig.csv",12466517,3.86172899999656,4.23992249998264,7.07374879997224,6.41132479999214
"C:\Projects\RDatasets\csv\AER\Fertility.csv",13126568,4.14055519999238,4.34038469998632,8.14865099999588,7.13716340000974
"C:\Projects\RDatasets\csv\openintro\avandia.csv",6791639,1.56858249998186,1.647877099982,2.61640230001649,3.19490290002432
"C:\Projects\RDatasets\csv\Stat2Data\AthleteGrad.csv",6957769,1.56789909995859,1.7231424000347,3.02845019998495,3.35895000002347
"C:\Projects\RDatasets\csv\causaldata\mortgages.csv",7413415,2.3402012999868,2.12149879999924,4.89660049998201,3.88578250003047
"C:\Projects\RDatasets\csv\openintro\mammogram.csv",2235827,0.701276500010863,0.646963300008792,1.48231130000204,1.32681090000551
"C:\Projects\RDatasets\csv\lme4\InstEval.csv",2961256,0.95355550001841,1.10602569999173,1.75358670001151,1.61335639999015
"C:\Projects\RDatasets\csv\stevedata\gss_abortion.csv",5445241,2.03374149999581,1.85522630001651,5.19064290000824,2.94080059998669
"C:\Projects\RDatasets\csv\stevedata\TV16.csv",7507239,2.13716390001355,2.10940749995643,6.45889470004477,3.28436529997271
"C:\Projects\RDatasets\csv\stevedata\gss_wages.csv",5993720,1.40729070000816,1.37251509999624,2.88701869995566,2.91526790003991
"C:\Projects\RDatasets\csv\AER\CPSSW8.csv",2638772,0.7317047000397,0.66516719997162,1.48112459998811,1.14047980000032
"C:\Projects\RDatasets\csv\stevedata\eq_passengercars.csv",7179209,0.926773099985439,1.03347590001067,1.16827879997436,2.18614570004866
"C:\Projects\RDatasets\csv\ggplot2movies\movies.csv",6059498,2.00453889998607,2.0191380000324,7.04936399997678,2.8979881000123
"C:\Projects\RDatasets\csv\ggplot2\diamonds.csv",3246501,0.997769700014032,0.959420200029854,2.6842552999733,1.97346810001181
"C:\Projects\RDatasets\csv\causaldata\gov_transfers_density.csv",1093754,0.335608399997,0.257663499971386,0.449510500009637,0.493548099999316
"C:\Projects\RDatasets\csv\openintro\seattlepets.csv",4127658,1.08434339996893,1.1609723000438,1.53135079995263,1.60844660003204
